mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_max_iter,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
263.7222812175751,9.008612285674428,0.0028652667999267576,0.00042751142233099206,relu,0.0001,"(100,)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31931948339.568653,-30835702807.89103,-29857086537.98134,-31072893539.429394,-31551728795.95749,-31049872004.16558,706973055.3571233,10
706.6985732555389,151.44881911754297,0.01872563362121582,0.0031348131211340544,relu,0.0001,"(100, 50)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31184478458.11337,-29251865347.07452,-28262946976.60581,-29356116736.981003,-30313901939.260864,-29673861891.607117,996126260.8588054,1
480.9587760448456,184.34619553207662,0.009145021438598633,0.0034267267564199013,relu,0.0001,"(50, 50)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31266259501.02323,-29333590544.431965,-28277185765.112522,-29416657395.53268,-30324295840.390182,-29723597809.29812,1007875895.6826086,6
251.0075361251831,96.79387599816663,0.022353267669677733,0.008822122863616902,relu,0.0001,"(100, 100)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31395244799.98626,-29452851044.8587,-28286057236.5607,-29493652715.74718,-30278891325.1902,-29781339424.468605,1027500416.9755664,9
299.1917730808258,53.49589884936645,0.003288078308105469,0.0008351013264426366,relu,0.001,"(100,)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31931557592.29742,-30856198176.716614,-29872006834.27641,-31100223656.299934,-31615261493.636818,-31075049550.64544,710109344.4871213,11
449.2405315876007,23.067911061438863,0.009315872192382812,0.0004925868077603814,relu,0.001,"(100, 50)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31365558648.948353,-29270713005.644634,-28285509745.67734,-29320555778.968857,-30337168880.562763,-29715901211.96039,1049557380.2994856,4
450.0491539001465,45.693330367820465,0.007304525375366211,0.0014125289003536962,relu,0.001,"(50, 50)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31292697945.727665,-29325453606.10276,-28304078855.683105,-29414332132.66528,-30325822972.131813,-29732477102.462128,1009312072.7120354,7
330.43355164527895,89.2601644646315,0.025556135177612304,0.006394013157140902,relu,0.001,"(100, 100)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31379421356.560806,-29210547956.49358,-28261565400.849937,-29401648926.155365,-30298824382.170906,-29710401604.446117,1056047018.7324518,3
384.6109757423401,6.910072114778816,0.0033686161041259766,0.0004800205067351887,relu,0.01,"(100,)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31978464803.61686,-30878163158.337677,-29912443498.05891,-31100223655.47503,-31600732266.016624,-31094005476.301018,704521911.8657568,12
541.2715023994446,102.31443784985294,0.01044154167175293,0.0013616830679814354,relu,0.01,"(100, 50)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31246732487.42357,-29197826896.271957,-28275481919.365887,-29312616827.921913,-30343014800.42886,-29675134586.28244,1023157200.7659402,2
481.1051209449768,39.9449754618149,0.007773685455322266,0.0010054833087982907,relu,0.01,"(50, 50)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31246504186.22041,-29286823977.34997,-28287618293.59948,-29471205583.09827,-30308483051.275448,-29720127018.308716,997776000.1954224,5
253.86578330993652,93.19138712121811,0.024994421005249023,0.006813154395314084,relu,0.01,"(100, 100)",5000,adam,0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'max_iter': 5000, 'solver': 'adam', 'tol': 0.01}",-31385826297.819073,-29265979587.63385,-28236316847.80806,-29515324493.85462,-30305959161.55899,-29741881277.734917,1055014098.0767182,8
